utterance_id,language,language_code,mode,length_group,filename,relative_path,sample_rate,duration_sec,mean_rms,mean_f0_hz,median_f0_hz,std_f0_hz,f0_range_hz,voiced_frames
en_01,English,en,speech,short,En-speak-1.m4a,data/audio/en/En-speak-1.m4a,16000,3.5186875,0.04302147775888443,198.38416302832334,212.505992363466,92.2870126496247,240.6118355313311,90
en_01,English,en,singing,short,En-sing-1.m4a,data/audio/en/En-sing-1.m4a,16000,5.14,0.0827748104929924,300.0429582340711,300.528856485967,77.56200456567817,134.08767927431398,149
en_02,English,en,speech,short,En-speak-2.m4a,data/audio/en/En-speak-2.m4a,16000,3.604,0.04035727679729462,224.89180975698122,248.37216905734888,73.62385863505382,208.18621036964586,91
en_02,English,en,singing,short,En-sing-2.m4a,data/audio/en/En-sing-2.m4a,16000,5.4813125,0.06860052049160004,319.22556049281707,341.2518476034216,71.60604132998535,132.6486958801242,155
en_03,English,en,speech,short,En-speak-3.m4a,data/audio/en/En-speak-3.m4a,16000,3.604,0.04031345248222351,260.9228231538347,260.8721391132856,103.4289879549931,319.14872005322724,82
en_03,English,en,singing,short,En-sing-3.m4a,data/audio/en/En-sing-3.m4a,16000,6.5906875,0.05557224154472351,304.0567618712119,304.0208335929107,80.15361233954667,133.2392069314826,185
en_04,English,en,speech,medium,En-speak-4.m4a,data/audio/en/En-speak-4.m4a,16000,4.5426875,0.04197482764720917,276.3457923034904,275.58617649730814,138.85000409416355,376.64745550644625,65
en_04,English,en,singing,medium,En-sing-4.m4a,data/audio/en/En-sing-4.m4a,16000,7.444,0.09318702667951584,302.73049488675787,320.24370022528115,65.35599251962498,118.4954251323768,212
en_05,English,en,speech,medium,En-speak-5.m4a,data/audio/en/En-speak-5.m4a,16000,4.372,0.02942138910293579,231.3316346907412,235.7901617579845,97.91819343441873,286.0369756478005,101
en_05,English,en,singing,medium,En-sing-5.m4a,data/audio/en/En-sing-5.m4a,16000,7.5293125,0.05762811377644539,287.4992515682084,307.5533855193843,94.2630644529027,286.411524296256,221
en_06,English,en,speech,medium,En-speak-6.m4a,data/audio/en/En-speak-6.m4a,16000,4.116,0.05049269646406174,209.828665879446,230.40470702053787,65.7369711176362,193.58854323690446,92
en_06,English,en,singing,medium,En-sing-6.m4a,data/audio/en/En-sing-6.m4a,16000,7.3586875,0.0942838191986084,317.9779907786647,327.72904188699454,43.46981052736778,122.14575084164198,216
en_07,English,en,speech,long,En-speak-7.m4a,data/audio/en/En-speak-7.m4a,16000,5.3106875,0.03632752224802971,226.26622922828022,212.52017295791285,98.00876806267125,283.00371287270735,122
en_07,English,en,singing,long,En-sing-7.m4a,data/audio/en/En-sing-7.m4a,16000,8.6386875,0.06496310979127884,315.1990542542557,333.4576446322876,69.5681087709458,128.56368861978223,239
en_08,English,en,speech,long,En-speak-8.m4a,data/audio/en/En-speak-8.m4a,16000,5.0546875,0.05390271544456482,236.087621708758,273.209858100989,88.24039178176062,254.03996784614355,106
en_08,English,en,singing,long,En-sing-8.m4a,data/audio/en/En-sing-8.m4a,16000,7.956,0.08520029485225677,291.62692353494623,300.528856485967,84.694350651894,275.59257861706396,235
en_09,English,en,speech,long,En-speak-9.m4a,data/audio/en/En-speak-9.m4a,16000,5.14,0.040418051183223724,272.7080829672618,286.1310786858231,93.65905685398069,301.5061400797824,106
en_09,English,en,singing,long,En-sing-9.m4a,data/audio/en/En-sing-9.m4a,16000,8.3826875,0.08566825091838837,296.7606633529386,329.6275569128699,93.6948385004244,312.3339819695105,248
fr_01,French,fr,speech,short,Fr-speak-1.m4a,data/audio/fr/Fr-speak-1.m4a,16000,2.7506875,0.052775394171476364,198.88070204228362,214.97877936687425,82.31818664491526,208.75085439416708,84
fr_01,French,fr,singing,short,Fr-sing-1.m4a,data/audio/fr/Fr-sing-1.m4a,16000,4.9693125,0.10667240619659424,300.9413015239929,302.26980244077964,72.09639937099817,121.76795452248041,153
fr_02,French,fr,speech,short,Fr-speak-2.m4a,data/audio/fr/Fr-speak-2.m4a,16000,3.5186875,0.03444803133606911,189.1993140549485,221.27444703492776,81.37075587043257,210.1797851721585,93
fr_02,French,fr,singing,short,Fr-sing-2.m4a,data/audio/fr/Fr-sing-2.m4a,16000,5.4813125,0.047810737043619156,296.43297116136966,288.6197829762387,71.52262762287317,135.58657924864093,154
